,Lousic C.K.,Dave Chappelle,Ricky Gervais,Bo Burham,Bill Burr,Jim Jefferies,John Mulaney,Hasan Minhaj,Ali Wong,Anthony Jeselnik,Mike Birbiglia,Joe Rogan
aaaaah,0,0,0,0,1,0,0,0,0,0,0,0
aaaaahhhhhhh,0,0,0,1,0,0,0,0,0,0,0,0
aaaaauuugghhhhhh,0,0,0,1,0,0,0,0,0,0,0,0
aaaahhhhh,0,0,0,1,0,0,0,0,0,0,0,0
aaah,0,1,0,0,0,0,0,0,0,0,0,0
aah,3,0,0,0,0,0,0,0,0,0,0,0
abc,0,0,0,0,1,0,0,0,1,0,0,0
ability,0,0,1,1,0,0,0,0,0,0,0,0
abject,0,0,1,0,0,0,0,0,0,0,0,0
able,1,0,2,0,1,1,3,1,2,0,0,2
ablebodie,0,0,0,0,0,2,0,0,0,0,0,0
abortion,0,1,0,0,0,0,0,0,0,2,0,0
abox,0,0,0,0,0,0,0,0,1,0,0,0
abroad,0,0,0,0,0,3,0,0,0,0,0,0
absofckinglutely,0,0,0,0,0,0,0,1,0,0,0,0
absolute,0,0,0,0,1,0,0,0,0,0,0,0
absolutely,0,0,0,3,3,0,1,0,0,0,0,0
absorb,0,0,0,0,1,0,0,0,1,0,0,0
abstain,0,0,0,2,0,0,0,0,0,0,0,0
abuse,0,0,0,0,0,0,0,0,3,0,0,1
academically,0,0,0,0,0,0,0,1,0,0,0,0
acc,0,0,0,1,0,0,0,0,0,0,0,0
accent,0,0,0,0,0,4,1,0,0,1,0,2
accept,1,0,0,0,0,0,0,0,0,0,0,1
acceptable,0,0,0,0,1,0,1,0,0,0,1,0
acceptance,0,0,0,0,0,0,0,1,0,0,0,0
access,2,0,0,0,0,0,2,0,0,0,0,0
accident,1,0,0,2,0,0,0,0,1,0,15,0
accidentally,0,0,0,1,2,0,0,0,1,1,0,1
accomplish,0,0,0,0,0,0,1,0,0,0,0,0
accomplishment,0,0,0,0,0,0,0,1,0,0,0,0
accord,0,0,0,1,0,0,0,0,2,0,0,0
accordingly,0,0,0,0,0,0,0,1,0,0,0,0
accoutrement,0,0,0,0,0,0,1,0,0,0,0,0
accurate,1,0,1,0,0,0,0,0,0,0,0,0
accustomed,0,1,0,0,0,0,0,0,0,0,0,0
accutane,0,0,0,0,0,0,0,1,0,0,0,0
achieve,0,0,0,0,1,0,0,0,2,0,0,0
achievement,1,0,0,0,0,0,0,0,0,0,0,0
acid,0,0,0,0,0,0,0,0,0,0,1,0
acknowledge,0,3,1,0,0,0,0,1,0,0,0,0
acoustic,0,0,0,0,0,0,0,1,0,0,0,0
acquisition,0,0,0,0,0,0,0,1,0,0,0,0
acquit,0,1,0,0,0,0,0,0,0,0,0,0
